label,product,szenariodate,memory_total (MB),memory_rss (MB),memory_cache(MB),memory_swap(MB),memory_pgpgin (pages),memory_pgpgout (pages),memory_quota (MB)
iText-1c,iText,1c, 1.517962507E12,955.86,952.98,2.88,0.00,764679,640574,1024.00
iText-1c,iText,1c, 1.517962527E12,955.86,952.98,2.88,0.00,764679,640574,1024.00
iText-1c,iText,1c, 1.517962547E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962567E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962587E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962607E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962627E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962647E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962666E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962687E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962707E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962727E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962747E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962766E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-1c,iText,1c, 1.517962787E12,955.93,953.04,2.88,0.00,764695,640574,1024.00
iText-2a,iText,2a, 1.517962807E12,977.34,974.40,2.94,0.00,771038,641435,1024.00
iText-2a,iText,2a, 1.517962828E12,978.75,975.81,2.94,0.00,775361,645396,1024.00
iText-2a,iText,2a, 1.517962846E12,978.75,975.83,2.93,0.00,780192,650227,1024.00
iText-2a,iText,2a, 1.517962867E12,980.79,977.83,2.96,0.00,785577,655602,1024.00
iText-2a,iText,2a, 1.517962887E12,979.77,976.83,2.94,0.00,789673,659958,1024.00
iText-2a,iText,2a, 1.517962907E12,971.11,968.18,2.93,0.00,795798,668302,1024.00
iText-2a,iText,2a, 1.517962927E12,971.99,969.04,2.96,0.00,801519,673796,1024.00
iText-2a,iText,2a, 1.517962948E12,971.46,968.54,2.93,0.00,806449,678862,1024.00
iText-2a,iText,2a, 1.517962968E12,973.47,970.54,2.93,0.00,811280,683690,1024.00
iText-2a,iText,2a, 1.517962987E12,971.46,968.54,2.93,0.00,815588,688512,1024.00
iText-2a,iText,2a, 1.517963007E12,971.47,968.54,2.93,0.00,820543,693465,1024.00
iText-2a,iText,2a, 1.517963027E12,973.46,970.54,2.93,0.00,825989,698401,1024.00
iText-2a,iText,2a, 1.517963047E12,971.46,968.54,2.93,0.00,831402,704326,1024.00
iText-2a,iText,2a, 1.517963067E12,973.43,970.51,2.93,0.00,837292,709711,1024.00
iText-2a,iText,2a, 1.517963086E12,971.96,969.04,2.93,0.00,842536,715332,1024.00
iText-2a,iText,2a, 1.517963107E12,972.46,969.54,2.93,0.00,847315,719983,1024.00
iText-2a,iText,2a, 1.517963127E12,972.46,969.54,2.93,0.00,852237,724905,1024.00
iText-2a,iText,2a, 1.517963147E12,971.46,968.54,2.93,0.00,856414,729338,1024.00
iText-2a,iText,2a, 1.517963167E12,970.96,968.04,2.93,0.00,860796,733848,1024.00
iText-2a,iText,2a, 1.517963187E12,970.96,968.04,2.93,0.00,865573,738625,1024.00
iText-2a,iText,2a, 1.517963208E12,970.98,968.04,2.95,0.00,870420,743466,1024.00
iText-2a,iText,2a, 1.517963227E12,971.96,969.04,2.93,0.00,874760,748067,1024.00
iText-2a,iText,2a, 1.517963247E12,971.46,968.54,2.93,0.00,879601,753036,1024.00
iText-2a,iText,2a, 1.517963267E12,970.96,968.04,2.93,0.00,884670,758233,1024.00
iText-2a,iText,2a, 1.517963287E12,970.98,968.04,2.94,0.00,888383,761942,1024.00
iText-2a,iText,2a, 1.517963308E12,970.61,967.61,3.00,0.00,893504,767157,1024.00
iText-2a,iText,2a, 1.517963327E12,970.56,967.62,2.94,0.00,897661,771327,1024.00
iText-2a,iText,2a, 1.517963347E12,972.04,969.11,2.93,0.00,902633,776432,1024.00
iText-2a,iText,2a, 1.517963367E12,971.56,968.62,2.94,0.00,907590,781511,1024.00
iText-2a,iText,2a, 1.517963387E12,972.55,969.62,2.93,0.00,912934,787112,1024.00
iText-2a,iText,2a, 1.517963406E12,972.55,969.62,2.93,0.00,914950,789128,1024.00
iText-2a,iText,2a, 1.517963426E12,972.55,969.62,2.93,0.00,914950,789128,1024.00
iText-2a,iText,2a, 1.517963447E12,972.55,969.62,2.93,0.00,914950,789128,1024.00
iText-2a,iText,2a, 1.517963467E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963487E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963507E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963527E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963547E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963567E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963587E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963607E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963627E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963647E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963666E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963687E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963707E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963726E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963746E12,971.73,968.80,2.93,0.00,914950,789339,1024.00
iText-2a,iText,2a, 1.517963767E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963786E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963807E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963828E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963846E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963867E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963886E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963906E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963926E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963947E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2a,iText,2a, 1.517963967E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
