label,product,szenariodate,memory_total (MB),memory_rss (MB),memory_cache(MB),memory_swap(MB),memory_pgpgin (pages),memory_pgpgout (pages),memory_quota (MB)
Jasper-deploy,Jasper,deploy, 1.517971182E12,396.47,394.27,2.20,0.00,131071,35196,1024.00
Jasper-1a,Jasper,1a, 1.517971203E12,439.88,437.68,2.20,0.00,142183,35196,1024.00
Jasper-1a,Jasper,1a, 1.517971225E12,611.62,604.88,6.73,0.00,187080,36127,1024.00
Jasper-1a,Jasper,1a, 1.517971246E12,748.03,741.30,6.73,0.00,226557,40682,1024.00
Jasper-1a,Jasper,1a, 1.517971266E12,807.78,801.04,6.74,0.00,242646,41475,1024.00
Jasper-1a,Jasper,1a, 1.517971288E12,904.17,897.43,6.73,0.00,271994,46148,1024.00
Jasper-1a,Jasper,1a, 1.517971307E12,1037.82,1023.21,0.05,14.56,285322,54027,1024.00
Jasper-1a,Jasper,1a, 1.517971328E12,1047.40,1023.96,0.04,23.40,290708,59224,1024.00
Jasper-1a,Jasper,1a, 1.517971351E12,1077.45,1023.63,0.05,53.77,301515,74713,1024.00
Jasper-1a,Jasper,1a, 1.517971371E12,1087.16,1023.60,0.04,63.52,306797,80005,1024.00
Jasper-1a,Jasper,1a, 1.517971393E12,1103.94,1023.45,0.06,80.43,316525,90276,1024.00
Jasper-1a,Jasper,1a, 1.517971414E12,1110.72,1023.70,0.03,86.99,321435,95131,1024.00
Jasper-1a,Jasper,1a, 1.517971434E12,1123.70,1021.61,0.03,102.06,330841,106093,1024.00
Jasper-1a,Jasper,1a, 1.517971455E12,1124.99,1023.66,0.03,101.29,331643,106369,1024.00
Jasper-1a,Jasper,1a, 1.517971476E12,1124.99,1023.71,0.03,101.25,331671,106386,1024.00
Jasper-1a,Jasper,1a, 1.517971496E12,1124.99,1023.71,0.03,101.25,331671,106386,1024.00
Jasper-1a,Jasper,1a, 1.517971517E12,1123.58,1022.51,0.03,101.04,331674,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971537E12,1123.58,1022.51,0.03,101.04,331674,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971559E12,1123.59,1022.52,0.03,101.04,331676,106696,1024.00
Jasper-1a,Jasper,1a, 1.51797158E12,1123.59,1022.52,0.03,101.04,331676,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971601E12,1123.59,1022.52,0.03,101.04,331678,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971621E12,1123.59,1022.52,0.03,101.04,331678,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971643E12,1123.59,1022.52,0.03,101.04,331678,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971664E12,1123.60,1022.54,0.03,101.04,331681,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971685E12,1123.60,1022.54,0.03,101.03,331682,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971706E12,1123.60,1022.54,0.03,101.03,331682,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971727E12,1123.60,1022.54,0.03,101.03,331682,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971748E12,1123.60,1022.54,0.03,101.03,331682,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971769E12,1123.61,1022.54,0.03,101.03,331683,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971789E12,1123.61,1022.55,0.03,101.03,331684,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971811E12,1123.61,1022.55,0.03,101.03,331686,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971832E12,1123.61,1022.55,0.03,101.03,331686,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971853E12,1123.63,1022.59,0.03,101.01,331695,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971875E12,1123.63,1022.59,0.03,101.01,331695,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971894E12,1123.64,1022.60,0.03,101.01,331698,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971916E12,1123.65,1022.62,0.03,101.00,331702,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971937E12,1123.68,1022.66,0.03,100.99,331714,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971959E12,1123.69,1022.68,0.03,100.98,331718,106696,1024.00
Jasper-1a,Jasper,1a, 1.517971979E12,1123.71,1022.71,0.03,100.97,331725,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972E12,1123.72,1022.73,0.03,100.96,331730,106696,1024.00
Jasper-1a,Jasper,1a, 1.51797202E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972043E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972064E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972084E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972105E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972126E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972147E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972168E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972189E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972209E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972231E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972251E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972273E12,1123.72,1022.73,0.03,100.96,331731,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972293E12,1123.72,1022.73,0.03,100.96,331732,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972315E12,1123.72,1022.73,0.03,100.96,331732,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972336E12,1123.72,1022.73,0.03,100.96,331732,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972357E12,1123.72,1022.73,0.03,100.96,331732,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972378E12,1123.72,1022.73,0.03,100.96,331732,106696,1024.00
Jasper-1a,Jasper,1a, 1.517972399E12,1123.73,1022.82,0.03,100.88,331762,106703,1024.00
Jasper-1b,Jasper,1b, 1.517972421E12,1139.32,1023.61,0.03,115.68,341086,115827,1024.00
Jasper-1b,Jasper,1b, 1.517972442E12,1125.82,1008.67,0.09,117.06,358399,136950,1024.00
Jasper-1b,Jasper,1b, 1.517972463E12,1131.65,1016.08,0.05,115.53,362709,139373,1024.00
Jasper-1b,Jasper,1b, 1.517972484E12,1138.32,1023.76,0.04,114.52,368216,142916,1024.00
Jasper-1b,Jasper,1b, 1.517972505E12,1144.98,1023.59,0.03,121.36,375508,150253,1024.00
Jasper-1b,Jasper,1b, 1.517972526E12,1152.14,1023.89,0.04,128.21,387510,162176,1024.00
Jasper-1b,Jasper,1b, 1.517972547E12,1160.32,1023.88,0.04,136.40,396958,171628,1024.00
Jasper-1b,Jasper,1b, 1.517972568E12,1177.94,1023.88,0.01,154.04,416938,191621,1024.00
Jasper-1b,Jasper,1b, 1.517972589E12,1198.29,1023.91,0.05,174.33,451592,226250,1024.00
Jasper-1b,Jasper,1b, 1.517972611E12,1206.54,1023.90,0.03,182.61,479996,254661,1024.00
Jasper-1b,Jasper,1b, 1.517972631E12,1219.19,1023.38,0.03,195.77,502485,277283,1024.00
Jasper-1b,Jasper,1b, 1.517972652E12,1230.39,1023.52,0.04,206.83,520524,295283,1024.00
Jasper-1b,Jasper,1b, 1.517972674E12,1240.62,1023.57,0.04,217.02,544413,319162,1024.00
Jasper-1b,Jasper,1b, 1.517972694E12,1248.38,1023.09,0.05,225.24,573991,348861,1024.00
Jasper-1b,Jasper,1b, 1.517972716E12,1255.41,1023.84,0.04,231.52,598782,373460,1024.00
Jasper-1b,Jasper,1b, 1.517972736E12,1264.06,1023.91,0.07,240.07,632748,407400,1024.00
Jasper-1b,Jasper,1b, 1.517972758E12,1272.21,1023.23,0.04,248.95,650956,425791,1024.00
Jasper-1b,Jasper,1b, 1.517972779E12,1282.05,1023.77,0.11,258.18,670889,445569,1024.00
Jasper-1b,Jasper,1b, 1.517972799E12,1291.15,1023.75,0.04,267.36,703540,478242,1024.00
Jasper-1b,Jasper,1b, 1.51797282E12,1297.23,1023.50,0.05,273.68,731483,506246,1024.00
Jasper-1b,Jasper,1b, 1.517972842E12,1301.00,1023.77,0.04,277.19,755888,530584,1024.00
Jasper-1b,Jasper,1b, 1.517972862E12,1304.65,1023.72,0.03,280.90,792666,567378,1024.00
Jasper-1b,Jasper,1b, 1.517972883E12,1311.69,1023.91,0.03,287.75,820712,595376,1024.00
Jasper-1b,Jasper,1b, 1.517972904E12,1317.39,1023.75,0.02,293.62,858568,633276,1024.00
Jasper-1b,Jasper,1b, 1.517972926E12,1322.58,1023.78,0.02,298.78,889885,664583,1024.00
Jasper-1b,Jasper,1b, 1.517972946E12,1328.20,1023.88,0.05,304.28,914719,689387,1024.00
Jasper-1b,Jasper,1b, 1.517972968E12,1330.54,1023.82,0.03,306.68,966179,740864,1024.00
Jasper-1b,Jasper,1b, 1.517972987E12,1334.44,1023.92,0.02,310.50,987091,761754,1024.00
Jasper-1b,Jasper,1b, 1.517973008E12,1337.54,1023.78,0.03,313.73,1000401,775097,1024.00
Jasper-1b,Jasper,1b, 1.517973028E12,1337.54,1023.78,0.03,313.73,1000401,775097,1024.00
Jasper-1b,Jasper,1b, 1.517973049E12,1337.54,1023.78,0.03,313.73,1000401,775097,1024.00
Jasper-1b,Jasper,1b, 1.517973071E12,1336.44,1023.40,0.03,313.01,1000544,775337,1024.00
Jasper-1b,Jasper,1b, 1.517973091E12,1336.44,1023.40,0.03,313.01,1000544,775337,1024.00
Jasper-1b,Jasper,1b, 1.517973112E12,1336.44,1023.41,0.03,313.00,1000545,775337,1024.00
Jasper-1b,Jasper,1b, 1.517973133E12,1336.44,1023.80,0.03,312.61,1001507,776197,1024.00
Jasper-1b,Jasper,1b, 1.517973154E12,1336.44,1023.84,0.03,312.57,1001618,776298,1024.00
Jasper-1b,Jasper,1b, 1.517973175E12,1336.44,1023.84,0.03,312.57,1001618,776298,1024.00
Jasper-1b,Jasper,1b, 1.517973196E12,1336.44,1023.75,0.03,312.66,1001699,776403,1024.00
Jasper-1b,Jasper,1b, 1.517973217E12,1336.44,1023.75,0.03,312.66,1001699,776403,1024.00
Jasper-1b,Jasper,1b, 1.517973238E12,1336.44,1023.75,0.03,312.66,1001699,776403,1024.00
Jasper-1b,Jasper,1b, 1.517973259E12,1336.43,1023.80,0.02,312.61,1001776,776470,1024.00
Jasper-1b,Jasper,1b, 1.51797328E12,1336.44,1023.77,0.03,312.64,1002654,777354,1024.00
Jasper-1b,Jasper,1b, 1.517973303E12,1336.44,1023.82,0.03,312.59,1003372,778057,1024.00
Jasper-1b,Jasper,1b, 1.517973323E12,1336.44,1023.81,0.03,312.60,1003642,778330,1024.00
Jasper-1b,Jasper,1b, 1.517973344E12,1336.44,1023.81,0.03,312.60,1003642,778330,1024.00
Jasper-1b,Jasper,1b, 1.517973364E12,1336.44,1023.81,0.03,312.60,1003642,778330,1024.00
Jasper-1b,Jasper,1b, 1.517973385E12,1336.44,1023.70,0.03,312.71,1003698,778414,1024.00
Jasper-1b,Jasper,1b, 1.517973406E12,1336.44,1023.70,0.03,312.71,1003698,778414,1024.00
Jasper-1b,Jasper,1b, 1.517973427E12,1336.44,1023.70,0.03,312.71,1003698,778414,1024.00
Jasper-1b,Jasper,1b, 1.517973448E12,1336.44,1023.79,0.03,312.62,1003807,778500,1024.00
Jasper-1b,Jasper,1b, 1.51797347E12,1336.44,1023.80,0.03,312.61,1003809,778500,1024.00
Jasper-1b,Jasper,1b, 1.51797349E12,1336.44,1023.82,0.03,312.59,1003815,778500,1024.00
Jasper-1b,Jasper,1b, 1.517973511E12,1336.44,1023.70,0.03,312.71,1003842,778560,1024.00
Jasper-1b,Jasper,1b, 1.517973532E12,1336.44,1023.70,0.03,312.71,1003842,778560,1024.00
Jasper-1b,Jasper,1b, 1.517973553E12,1336.44,1023.70,0.03,312.71,1003842,778560,1024.00
Jasper-1b,Jasper,1b, 1.517973574E12,1336.44,1023.70,0.03,312.71,1003842,778560,1024.00
Jasper-1b,Jasper,1b, 1.517973595E12,1336.44,1023.70,0.03,312.71,1003842,778560,1024.00
Jasper-1c,Jasper,1c, 1.517973617E12,1268.23,1012.69,0.03,255.50,1059308,836843,1024.00
Jasper-1c,Jasper,1c, 1.517973638E12,1274.15,1023.60,0.03,250.52,1098293,873035,1024.00
Jasper-1c,Jasper,1c, 1.51797366E12,1275.42,1023.74,0.03,251.65,1119178,893885,1024.00
Jasper-1c,Jasper,1c, 1.517973681E12,1275.62,1023.50,0.03,252.08,1125700,900467,1024.00
Jasper-1c,Jasper,1c, 1.517973702E12,1276.37,1007.88,0.05,268.43,1139087,917847,1024.00
Jasper-1c,Jasper,1c, 1.517973723E12,1276.56,1011.80,0.05,264.71,1141578,919335,1024.00
Jasper-1c,Jasper,1c, 1.517973744E12,1276.54,1018.30,0.05,258.18,1144926,921018,1024.00
Jasper-1c,Jasper,1c, 1.517973764E12,1278.00,1023.82,0.03,254.15,1148076,922762,1024.00
Jasper-1c,Jasper,1c, 1.517973786E12,1283.30,1023.77,0.03,259.49,1151992,926690,1024.00
Jasper-1c,Jasper,1c, 1.517973807E12,1288.06,1023.64,0.05,264.36,1155304,930029,1024.00
Jasper-1c,Jasper,1c, 1.517973828E12,1292.84,1023.91,0.03,268.89,1158729,933391,1024.00
Jasper-1c,Jasper,1c, 1.517973849E12,1298.21,1023.70,0.03,274.48,1162833,937549,1024.00
Jasper-1c,Jasper,1c, 1.51797387E12,1301.90,1023.73,0.03,278.14,1165919,940629,1024.00
Jasper-1c,Jasper,1c, 1.51797389E12,1305.88,1023.77,0.03,282.07,1168767,943466,1024.00
Jasper-1c,Jasper,1c, 1.517973912E12,1310.49,1023.93,0.03,286.53,1172704,947362,1024.00
Jasper-1c,Jasper,1c, 1.517973933E12,1315.62,1023.82,0.04,291.77,1175834,950518,1024.00
Jasper-1c,Jasper,1c, 1.517973954E12,1318.86,1023.95,0.03,294.88,1178924,953578,1024.00
Jasper-1c,Jasper,1c, 1.517973975E12,1324.23,1023.89,0.03,300.31,1182350,957019,1024.00
Jasper-1c,Jasper,1c, 1.517973995E12,1328.32,1023.56,0.03,304.73,1185036,959788,1024.00
Jasper-1c,Jasper,1c, 1.517974016E12,1331.25,1023.76,0.03,307.46,1186993,961695,1024.00
Jasper-1c,Jasper,1c, 1.517974037E12,1335.40,1023.65,0.03,311.72,1189767,964496,1024.00
Jasper-1c,Jasper,1c, 1.517974058E12,1341.82,1023.87,0.03,317.91,1195093,969766,1024.00
Jasper-1c,Jasper,1c, 1.51797408E12,1346.74,1023.86,0.02,322.86,1198330,973009,1024.00
Jasper-1c,Jasper,1c, 1.517974101E12,1351.61,1023.79,0.04,327.78,1201580,976273,1024.00
Jasper-1c,Jasper,1c, 1.517974122E12,1357.43,1023.64,0.03,333.76,1207566,982299,1024.00
Jasper-1c,Jasper,1c, 1.517974143E12,1364.86,1023.82,0.03,341.00,1212914,987599,1024.00
Jasper-1c,Jasper,1c, 1.517974164E12,1371.30,1023.59,0.03,347.68,1218427,993171,1024.00
Jasper-1c,Jasper,1c, 1.517974185E12,1376.79,1023.88,0.03,352.88,1222353,997023,1024.00
Jasper-1c,Jasper,1c, 1.517974205E12,1379.16,1023.64,0.02,355.50,1225140,999875,1024.00
Jasper-1c,Jasper,1c, 1.517974226E12,1379.16,1023.64,0.02,355.50,1225140,999875,1024.00
Jasper-1c,Jasper,1c, 1.517974247E12,1379.16,1023.65,0.02,355.50,1225141,999875,1024.00
Jasper-1c,Jasper,1c, 1.517974267E12,1375.71,1020.42,0.03,355.25,1225179,1000735,1024.00
Jasper-1c,Jasper,1c, 1.517974289E12,1375.71,1020.53,0.03,355.15,1225206,1000735,1024.00
Jasper-1c,Jasper,1c, 1.517974309E12,1375.71,1020.53,0.03,355.15,1225206,1000735,1024.00
Jasper-1c,Jasper,1c, 1.51797433E12,1375.71,1020.69,0.03,354.99,1225247,1000735,1024.00
Jasper-1c,Jasper,1c, 1.517974351E12,1375.71,1020.69,0.03,354.98,1225248,1000735,1024.00
Jasper-1c,Jasper,1c, 1.517974372E12,1375.71,1020.69,0.03,354.98,1225248,1000735,1024.00
Jasper-1c,Jasper,1c, 1.517974393E12,1375.71,1020.77,0.03,354.91,1225268,1000735,1024.00
Jasper-1c,Jasper,1c, 1.517974414E12,1375.71,1023.88,0.03,351.80,1231186,1005858,1024.00
Jasper-1c,Jasper,1c, 1.517974436E12,1375.71,1023.88,0.03,351.80,1231186,1005858,1024.00
Jasper-1c,Jasper,1c, 1.517974456E12,1375.71,1023.88,0.03,351.80,1231186,1005858,1024.00
Jasper-1c,Jasper,1c, 1.517974477E12,1375.71,1023.85,0.03,351.83,1231227,1005906,1024.00
Jasper-1c,Jasper,1c, 1.517974499E12,1375.71,1023.85,0.03,351.83,1231227,1005906,1024.00
Jasper-1c,Jasper,1c, 1.51797452E12,1375.71,1023.87,0.03,351.81,1231232,1005906,1024.00
Jasper-1c,Jasper,1c, 1.51797454E12,1375.71,1023.87,0.03,351.81,1231232,1005906,1024.00
Jasper-1c,Jasper,1c, 1.517974561E12,1375.71,1023.97,0.03,351.71,1231421,1006069,1024.00
Jasper-1c,Jasper,1c, 1.517974583E12,1375.71,1023.76,0.03,351.91,1232979,1007680,1024.00
Jasper-1c,Jasper,1c, 1.517974603E12,1375.71,1023.76,0.03,351.91,1232979,1007680,1024.00
Jasper-1c,Jasper,1c, 1.517974625E12,1375.71,1023.76,0.03,351.91,1232979,1007680,1024.00
Jasper-1c,Jasper,1c, 1.517974646E12,1375.71,1023.71,0.03,351.96,1233010,1007723,1024.00
Jasper-1c,Jasper,1c, 1.517974666E12,1375.71,1023.71,0.03,351.96,1233010,1007723,1024.00
Jasper-1c,Jasper,1c, 1.517974687E12,1375.71,1023.59,0.03,352.08,1233050,1007794,1024.00
Jasper-1c,Jasper,1c, 1.517974709E12,1375.71,1023.59,0.03,352.08,1233050,1007794,1024.00
Jasper-1c,Jasper,1c, 1.51797473E12,1375.71,1023.59,0.03,352.08,1233050,1007794,1024.00
Jasper-1c,Jasper,1c, 1.517974751E12,1375.71,1023.59,0.03,352.08,1233050,1007794,1024.00
Jasper-1c,Jasper,1c, 1.517974771E12,1375.71,1023.60,0.03,352.08,1233051,1007794,1024.00
Jasper-1c,Jasper,1c, 1.517974792E12,1375.71,1023.60,0.03,352.08,1233051,1007794,1024.00
Jasper-2a,Jasper,2a, 1.517974814E12,1292.91,945.98,0.03,346.90,1274298,1068912,1024.00
Jasper-2a,Jasper,2a, 1.517974834E12,1292.49,1023.82,0.03,268.64,1307548,1082234,1024.00
Jasper-2a,Jasper,2a, 1.517974856E12,1294.43,1023.73,0.03,270.66,1341636,1116344,1024.00
Jasper-2a,Jasper,2a, 1.517974878E12,1293.98,1023.66,0.03,270.29,1348997,1123725,1024.00
Jasper-2a,Jasper,2a, 1.517974899E12,1293.86,1023.79,0.03,270.05,1352199,1126894,1024.00
Jasper-2a,Jasper,2a, 1.51797492E12,1294.36,1023.75,0.03,270.59,1357044,1131749,1024.00
Jasper-2a,Jasper,2a, 1.51797494E12,1294.11,1023.62,0.03,270.46,1360237,1134975,1024.00
Jasper-2a,Jasper,2a, 1.517974961E12,1293.96,1022.38,0.04,271.54,1363267,1138320,1024.00
Jasper-2a,Jasper,2a, 1.517974982E12,1294.60,1023.94,0.03,270.62,1365276,1139931,1024.00
Jasper-2a,Jasper,2a, 1.517975003E12,1294.04,1023.38,0.03,270.62,1368653,1143451,1024.00
Jasper-2a,Jasper,2a, 1.517975024E12,1294.58,1023.60,0.03,270.95,1371924,1146667,1024.00
Jasper-2a,Jasper,2a, 1.517975044E12,1294.48,1023.59,0.03,270.86,1378926,1153672,1024.00
Jasper-2a,Jasper,2a, 1.517975066E12,1294.93,1023.56,0.03,271.34,1381973,1156726,1024.00
Jasper-2a,Jasper,2a, 1.517975087E12,1297.14,1023.72,0.03,273.38,1384724,1159435,1024.00
Jasper-2a,Jasper,2a, 1.517975108E12,1299.66,1023.89,0.03,275.73,1387661,1162328,1024.00
Jasper-2a,Jasper,2a, 1.517975129E12,1301.87,1023.66,0.03,278.18,1390353,1165080,1024.00
Jasper-2a,Jasper,2a, 1.517975151E12,1304.08,1023.94,0.03,280.11,1392725,1167380,1024.00
Jasper-2a,Jasper,2a, 1.517975171E12,1306.27,1023.80,0.03,282.43,1395630,1170320,1024.00
Jasper-2a,Jasper,2a, 1.517975192E12,1309.23,1023.74,0.03,285.46,1398869,1173575,1024.00
Jasper-2a,Jasper,2a, 1.517975214E12,1311.63,1023.59,0.03,288.01,1402232,1176976,1024.00
Jasper-2a,Jasper,2a, 1.517975233E12,1314.34,1023.39,0.03,290.91,1405384,1180179,1024.00
Jasper-2a,Jasper,2a, 1.517975256E12,1316.68,1023.78,0.03,292.87,1407967,1182664,1024.00
Jasper-2a,Jasper,2a, 1.517975277E12,1319.02,1023.85,0.03,295.14,1410556,1185235,1024.00
Jasper-2a,Jasper,2a, 1.517975296E12,1321.04,1023.95,0.03,297.07,1412677,1187331,1024.00
Jasper-2a,Jasper,2a, 1.517975318E12,1323.79,1023.69,0.03,300.07,1415960,1190679,1024.00
Jasper-2a,Jasper,2a, 1.517975339E12,1326.57,1023.71,0.03,302.84,1419053,1193768,1024.00
Jasper-2a,Jasper,2a, 1.51797536E12,1328.91,1023.79,0.03,305.09,1422373,1197066,1024.00
Jasper-2a,Jasper,2a, 1.51797538E12,1332.06,1023.57,0.03,308.46,1427162,1201912,1024.00
Jasper-2a,Jasper,2a, 1.517975401E12,1333.99,1023.88,0.03,310.07,1430313,1204983,1024.00
Jasper-2a,Jasper,2a, 1.517975424E12,1333.99,1023.89,0.03,310.07,1430314,1204983,1024.00
Jasper-2a,Jasper,2a, 1.517975444E12,1333.99,1023.89,0.03,310.07,1430315,1204983,1024.00
Jasper-2a,Jasper,2a, 1.517975465E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975485E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975507E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975527E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975549E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975569E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.51797559E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975613E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975633E12,1332.89,1022.53,0.03,310.33,1430360,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975654E12,1332.89,1022.57,0.03,310.30,1430369,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975674E12,1332.89,1022.57,0.03,310.30,1430369,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975695E12,1332.89,1022.62,0.03,310.24,1430384,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975716E12,1332.89,1022.62,0.03,310.24,1430384,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975738E12,1332.89,1022.62,0.03,310.24,1430384,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975758E12,1332.89,1022.63,0.03,310.23,1430386,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975779E12,1332.89,1022.63,0.03,310.23,1430386,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975801E12,1332.89,1022.63,0.03,310.23,1430386,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975822E12,1332.89,1022.63,0.03,310.23,1430386,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975842E12,1332.90,1022.86,0.03,310.01,1430444,1205376,1024.00
Jasper-2a,Jasper,2a, 1.517975863E12,1332.90,1023.67,0.03,309.20,1430732,1205457,1024.00
Jasper-2a,Jasper,2a, 1.517975885E12,1332.90,1023.67,0.03,309.20,1430732,1205457,1024.00
Jasper-2a,Jasper,2a, 1.517975906E12,1332.90,1023.67,0.03,309.20,1430732,1205457,1024.00
Jasper-2a,Jasper,2a, 1.517975927E12,1332.90,1023.67,0.03,309.20,1430732,1205457,1024.00
Jasper-2a,Jasper,2a, 1.517975948E12,1332.90,1023.67,0.03,309.20,1430732,1205457,1024.00
Jasper-2a,Jasper,2a, 1.517975969E12,1332.90,1023.67,0.03,309.20,1430732,1205457,1024.00
Jasper-2a,Jasper,2a, 1.51797599E12,1332.90,1023.67,0.03,309.20,1430732,1205457,1024.00
Jasper-2b,Jasper,2b, 1.517976012E12,1336.78,1023.72,0.03,313.03,1440549,1215260,1024.00
Jasper-2b,Jasper,2b, 1.517976032E12,1338.14,1023.92,0.05,314.17,1445099,1219755,1024.00
Jasper-2b,Jasper,2b, 1.517976054E12,1307.39,994.21,0.05,313.14,1450816,1233079,1024.00
Jasper-2b,Jasper,2b, 1.517976074E12,1307.51,995.09,0.03,312.39,1452069,1234111,1024.00
Jasper-2b,Jasper,2b, 1.517976096E12,1307.59,996.85,0.03,310.71,1454203,1235793,1024.00
Jasper-2b,Jasper,2b, 1.517976116E12,1308.67,998.83,0.04,309.80,1456538,1237619,1024.00
Jasper-2b,Jasper,2b, 1.517976138E12,1308.27,999.52,0.05,308.70,1458314,1239216,1024.00
Jasper-2b,Jasper,2b, 1.517976159E12,1308.11,1000.08,0.04,307.99,1460195,1240956,1024.00
Jasper-2b,Jasper,2b, 1.517976179E12,1307.88,1000.59,0.03,307.26,1462194,1242826,1024.00
Jasper-2b,Jasper,2b, 1.517976201E12,1308.64,1002.23,0.03,306.38,1464000,1244213,1024.00
Jasper-2b,Jasper,2b, 1.517976221E12,1308.68,1002.86,0.04,305.79,1465563,1245614,1024.00
Jasper-2b,Jasper,2b, 1.517976242E12,1309.57,1004.68,0.04,304.86,1468406,1247991,1024.00
Jasper-2b,Jasper,2b, 1.517976263E12,1309.02,1004.79,0.03,304.20,1470635,1250193,1024.00
Jasper-2b,Jasper,2b, 1.517976284E12,1309.26,1005.72,0.06,303.48,1473203,1252514,1024.00
Jasper-2b,Jasper,2b, 1.517976305E12,1309.70,1010.16,0.05,299.48,1476201,1254378,1024.00
Jasper-2b,Jasper,2b, 1.517976327E12,1309.87,1010.46,0.05,299.36,1478175,1256278,1024.00
Jasper-2b,Jasper,2b, 1.517976347E12,1309.87,1010.54,0.05,299.28,1479793,1257874,1024.00
Jasper-2b,Jasper,2b, 1.517976368E12,1310.01,1010.81,0.05,299.15,1482529,1260541,1024.00
Jasper-2b,Jasper,2b, 1.517976389E12,1310.24,1011.30,0.04,298.90,1484715,1262605,1024.00
Jasper-2b,Jasper,2b, 1.51797641E12,1310.77,1012.57,0.03,298.18,1486674,1264241,1024.00
Jasper-2b,Jasper,2b, 1.517976431E12,1310.82,1012.79,0.05,297.98,1488812,1266317,1024.00
Jasper-2b,Jasper,2b, 1.517976453E12,1313.10,1015.20,0.04,297.86,1491349,1268240,1024.00
Jasper-2b,Jasper,2b, 1.517976473E12,1314.95,1017.18,0.03,297.74,1493578,1269964,1024.00
